storage_type,uid,basin,formation_id,state,lon,lat
SALINE,283,,Temblor2a,CA,-120.12411,36.688649
SALINE,284,,Temblor2b,CA,-120.12411,36.688649
SALINE,285,,Temblor3a,CA,-120.124026,36.688592
SALINE,286,,Temblor3b,CA,-120.124026,36.688592
SALINE,287,,Temblor3c,CA,-120.124026,36.688592
SALINE,288,,Tensleep1,WY,-108.48701200000001,44.230322
SALINE,289,,Tensleep2,WY,-108.5924,44.403095
SALINE,290,,Tensleep3,MT,-109.180956,45.177169
SALINE,291,,Tensleep4,WY,-110.592718,41.988206
SALINE,292,,Tensleep5,UT,-111.185568,41.139183
SALINE,293,,Tensleep 6,WY,-108.082819,43.059416
SALINE,294,,Viola01,CO,-102.35125,37.697923
SALINE,295,,Viola02,KS,-100.369175,37.860986
SALINE,296,,Viola03,OK,-99.07061,36.074148
SALINE,297,,Viola04,TX,-100.929434,35.997845
SALINE,298,,Wasatch1,UT,-109.786108,40.019588
SALINE,299,,Washita-Fredericksburg1,AL,-87.453907,31.394198
SALINE,300,,Washita-Fredericksburg2,FL,-85.779607,30.511104
SALINE,301,,Washita-Fredericksburg3,MS,-89.680548,31.735258
SALINE,302,,Waste Gate1,MD,-75.511496,38.237383
SALINE,303,,Weber1,CO,-107.589686,39.133874
SALINE,304,,Weber2,CO,-108.372587,39.794882
SALINE,305,,Weber3,CO,-107.81779,40.608238
SALINE,306,,Weber4,WY,-106.627097,41.600899
SALINE,307,,WhiteRim01,UT,-110.775813,38.96364
SALINE,308,,Winters1a,CA,-121.358152,38.071841
SALINE,309,,Winters1b,CA,-121.358152,38.071841
SALINE,310,,Winters1c,CA,-121.358152,38.071841
SALINE,311,,Winters2,CA,-121.913304,39.441286
SALINE,312,,Wolfcamp1,TX,-101.65746,34.678773
SALINE,313,,Wolfcamp2,NM,-103.845977,34.630852
SALINE,314,,Woodbine1,TX,-95.574182,31.698111
EOR,DOKS6344800,Anadarko Basin - KS,DOKS6344800,KS,-101.50785,37.183145
EOR,DOKS6345200,Anadarko Basin - KS,DOKS6345200,KS,-101.50785,37.183145
EOR,DOKS6345500,Anadarko Basin - KS,DOKS6345500,KS,-101.50785,37.183145
EOR,DOKS6345900,Anadarko Basin - KS,DOKS6345900,KS,-101.50785,37.183145
EOR,DOKS6346000,Anadarko Basin - KS,DOKS6346000,KS,-101.50785,37.183145
EOR,DOKS6346400,Anadarko Basin - KS,DOKS6346400,KS,-101.50785,37.183145
EOR,DOKS6346500,Anadarko Basin - KS,DOKS6346500,KS,-101.50785,37.183145
EOR,DOKS6347000,Anadarko Basin - KS,DOKS6347000,KS,-101.50785,37.183145
EOR,DOKS6347200,Anadarko Basin - KS,DOKS6347200,KS,-101.50785,37.183145
EOR,DOKS6348100,Anadarko Basin - KS,DOKS6348100,KS,-101.50785,37.183145
EOR,DOKS6350100,Anadarko Basin - KS,DOKS6350100,KS,-101.50785,37.183145
EOR,DOKS6351600,Anadarko Basin - KS,DOKS6351600,KS,-101.50785,37.183145
EOR,DOKS6354800,Anadarko Basin - KS,DOKS6354800,KS,-101.50785,37.183145
EOR,DOKS6356100,Anadarko Basin - KS,DOKS6356100,KS,-101.50785,37.183145
EOR,DOKS6357100,Anadarko Basin - KS,DOKS6357100,KS,-101.50785,37.183145
EOR,DOKS6357500,Anadarko Basin - KS,DOKS6357500,KS,-101.50785,37.183145
EOR,DOKS6359000,Anadarko Basin - KS,DOKS6359000,KS,-101.50785,37.183145
EOR,DOKS6361400,Anadarko Basin - KS,DOKS6361400,KS,-101.50785,37.183145
EOR,DOKS6362100,Anadarko Basin - KS,DOKS6362100,KS,-101.50785,37.183145
EOR,DOKS6366300,Anadarko Basin - KS,DOKS6366300,KS,-101.50785,37.183145
EOR,DOKS6369200,Anadarko Basin - KS,DOKS6369200,KS,-101.50785,37.183145
EOR,DOKS6372000,Anadarko Basin - KS,DOKS6372000,KS,-101.50785,37.183145
EOR,DOKS6375500,Anadarko Basin - KS,DOKS6375500,KS,-101.50785,37.183145
EOR,DOKS6377600,Anadarko Basin - KS,DOKS6377600,KS,-101.50785,37.183145
EOR,DOKS6377900,Anadarko Basin - KS,DOKS6377900,KS,-101.50785,37.183145
EOR,DOOK6337300,Anadarko Basin - OK,DOOK6337300,OK,-98.811518,35.643089
EOR,DOOK6340500,Anadarko Basin - OK,DOOK6340500,OK,-98.811518,35.643089
EOR,DOOK6344300,Anadarko Basin - OK,DOOK6344300,OK,-98.811518,35.643089
EOR,DOOK6344600,Anadarko Basin - OK,DOOK6344600,OK,-98.811518,35.643089
EOR,DOOK6344700,Anadarko Basin - OK,DOOK6344700,OK,-98.811518,35.643089
EOR,DOOK6345100,Anadarko Basin - OK,DOOK6345100,OK,-98.811518,35.643089
EOR,DOOK6345300,Anadarko Basin - OK,DOOK6345300,OK,-98.811518,35.643089
EOR,DOOK6345400,Anadarko Basin - OK,DOOK6345400,OK,-98.811518,35.643089
EOR,DOOK6345700,Anadarko Basin - OK,DOOK6345700,OK,-98.811518,35.643089
EOR,DOOK6346200,Anadarko Basin - OK,DOOK6346200,OK,-98.811518,35.643089
EOR,DOOK6346300,Anadarko Basin - OK,DOOK6346300,OK,-98.811518,35.643089
EOR,DOOK6346600,Anadarko Basin - OK,DOOK6346600,OK,-98.811518,35.643089
EOR,DOOK6347500,Anadarko Basin - OK,DOOK6347500,OK,-98.811518,35.643089
EOR,DOOK6348300,Anadarko Basin - OK,DOOK6348300,OK,-98.811518,35.643089
EOR,DOOK6348700,Anadarko Basin - OK,DOOK6348700,OK,-98.811518,35.643089
EOR,DOOK6348800,Anadarko Basin - OK,DOOK6348800,OK,-98.811518,35.643089
EOR,DOOK6349100,Anadarko Basin - OK,DOOK6349100,OK,-98.811518,35.643089
EOR,DOOK6349400,Anadarko Basin - OK,DOOK6349400,OK,-98.811518,35.643089
EOR,DOOK6351000,Anadarko Basin - OK,DOOK6351000,OK,-98.811518,35.643089
EOR,DOOK6351100,Anadarko Basin - OK,DOOK6351100,OK,-98.811518,35.643089
EOR,DOOK6351200,Anadarko Basin - OK,DOOK6351200,OK,-98.811518,35.643089
EOR,DOOK6351400,Anadarko Basin - OK,DOOK6351400,OK,-98.811518,35.643089
EOR,DOOK6351900,Anadarko Basin - OK,DOOK6351900,OK,-98.811518,35.643089
EOR,DOOK6352100,Anadarko Basin - OK,DOOK6352100,OK,-98.811518,35.643089
EOR,DOOK6352200,Anadarko Basin - OK,DOOK6352200,OK,-98.811518,35.643089
EOR,DOOK6352500,Anadarko Basin - OK,DOOK6352500,OK,-98.811518,35.643089
EOR,DOOK6352900,Anadarko Basin - OK,DOOK6352900,OK,-98.811518,35.643089
EOR,DOOK6354000,Anadarko Basin - OK,DOOK6354000,OK,-98.811518,35.643089
EOR,DOOK6354400,Anadarko Basin - OK,DOOK6354400,OK,-98.811518,35.643089
EOR,DOOK6354500,Anadarko Basin - OK,DOOK6354500,OK,-98.811518,35.643089
EOR,DOOK6355300,Anadarko Basin - OK,DOOK6355300,OK,-98.811518,35.643089
EOR,DOOK6356200,Anadarko Basin - OK,DOOK6356200,OK,-98.811518,35.643089
EOR,DOOK6356400,Anadarko Basin - OK,DOOK6356400,OK,-98.811518,35.643089
EOR,DOOK6357600,Anadarko Basin - OK,DOOK6357600,OK,-98.811518,35.643089
EOR,DOOK6357700,Anadarko Basin - OK,DOOK6357700,OK,-98.811518,35.643089
EOR,DOOK6357900,Anadarko Basin - OK,DOOK6357900,OK,-98.811518,35.643089
EOR,DOOK6358000,Anadarko Basin - OK,DOOK6358000,OK,-98.811518,35.643089
EOR,DOOK6359400,Anadarko Basin - OK,DOOK6359400,OK,-98.811518,35.643089
EOR,DOOK6360400,Anadarko Basin - OK,DOOK6360400,OK,-98.811518,35.643089
EOR,DOOK6360500,Anadarko Basin - OK,DOOK6360500,OK,-98.811518,35.643089
EOR,DOOK6360700,Anadarko Basin - OK,DOOK6360700,OK,-98.811518,35.643089
EOR,DOOK6360800,Anadarko Basin - OK,DOOK6360800,OK,-98.811518,35.643089
EOR,DOOK6360900,Anadarko Basin - OK,DOOK6360900,OK,-98.811518,35.643089
EOR,DOOK6362600,Anadarko Basin - OK,DOOK6362600,OK,-98.811518,35.643089
EOR,DOOK6363100,Anadarko Basin - OK,DOOK6363100,OK,-98.811518,35.643089
EOR,DOOK6363300,Anadarko Basin - OK,DOOK6363300,OK,-98.811518,35.643089
EOR,DOOK6365900,Anadarko Basin - OK,DOOK6365900,OK,-98.811518,35.643089
EOR,DOOK6366000,Anadarko Basin - OK,DOOK6366000,OK,-98.811518,35.643089
EOR,DOOK6367300,Anadarko Basin - OK,DOOK6367300,OK,-98.811518,35.643089
EOR,DOOK6367900,Anadarko Basin - OK,DOOK6367900,OK,-98.811518,35.643089
EOR,DOOK6368200,Anadarko Basin - OK,DOOK6368200,OK,-98.811518,35.643089
EOR,DOOK6370000,Anadarko Basin - OK,DOOK6370000,OK,-98.811518,35.643089
EOR,DOOK6370200,Anadarko Basin - OK,DOOK6370200,OK,-98.811518,35.643089
EOR,DOOK6371300,Anadarko Basin - OK,DOOK6371300,OK,-98.811518,35.643089
EOR,DOOK6371600,Anadarko Basin - OK,DOOK6371600,OK,-98.811518,35.643089
EOR,DOOK6373500,Anadarko Basin - OK,DOOK6373500,OK,-98.811518,35.643089
EOR,DOOK6373800,Anadarko Basin - OK,DOOK6373800,OK,-98.811518,35.643089
EOR,DOOK6376200,Anadarko Basin - OK,DOOK6376200,OK,-98.811518,35.643089
EOR,DOOK6376400,Anadarko Basin - OK,DOOK6376400,OK,-98.811518,35.643089
EOR,DOOK6376500,Anadarko Basin - OK,DOOK6376500,OK,-98.811518,35.643089
EOR,DOOK6377300,Anadarko Basin - OK,DOOK6377300,OK,-98.811518,35.643089
EOR,DOOK6378100,Anadarko Basin - OK,DOOK6378100,OK,-98.811518,35.643089
EOR,DOOK6378200,Anadarko Basin - OK,DOOK6378200,OK,-98.811518,35.643089
EOR,DOOK6379200,Anadarko Basin - OK,DOOK6379200,OK,-98.811518,35.643089
EOR,DOOK7309900,Anadarko Basin - OK,DOOK7309900,OK,-98.811518,35.643089
EOR,DOOK7310700,Anadarko Basin - OK,DOOK7310700,OK,-98.811518,35.643089
EOR,DOOK7311100,Anadarko Basin - OK,DOOK7311100,OK,-98.811518,35.643089
EOR,DOOK7311300,Anadarko Basin - OK,DOOK7311300,OK,-98.811518,35.643089
EOR,DOOK7311500,Anadarko Basin - OK,DOOK7311500,OK,-98.811518,35.643089
EOR,DOOK7312300,Anadarko Basin - OK,DOOK7312300,OK,-98.811518,35.643089
EOR,DOOK7312800,Anadarko Basin - OK,DOOK7312800,OK,-98.811518,35.643089
EOR,DOOK7313100,Anadarko Basin - OK,DOOK7313100,OK,-98.811518,35.643089
EOR,DOOK7316100,Anadarko Basin - OK,DOOK7316100,OK,-98.811518,35.643089
EOR,DOOK7316400,Anadarko Basin - OK,DOOK7316400,OK,-98.811518,35.643089
EOR,DOOK7316700,Anadarko Basin - OK,DOOK7316700,OK,-98.811518,35.643089
EOR,DOOK7317200,Anadarko Basin - OK,DOOK7317200,OK,-98.811518,35.643089
